year,month,year_month,total_orders,monthly_revenue,avg_order_value
2022,5,2022-05,47,582415.28,12391.81
2022,6,2022-06,217,2244313.14,10342.46
2022,7,2022-07,215,1868508.36,8690.74
2022,8,2022-08,189,1483277.04,7848.03
2022,9,2022-09,250,3183714.32,12734.86
2022,10,2022-10,239,2543935.27,10644.08
2022,11,2022-11,267,1603313.51,6004.92
2022,12,2022-12,268,2807217.25,10474.69
2023,1,2023-01,259,2325568.6,8979.03
2023,2,2023-02,211,1620826.1,7681.64
2023,3,2023-03,304,3336347.47,10974.83
2023,4,2023-04,269,1871923.5,6958.82
2023,5,2023-05,293,3452924.45,11784.73
2023,6,2023-06,390,4610647.22,11822.17
2023,7,2023-07,385,3840231.46,9974.63
2023,8,2023-08,285,2442451.18,8570.0
2023,9,2023-09,352,3881724.19,11027.63
2023,10,2023-10,321,2858060.2,8903.61
2023,11,2023-11,383,2097153.13,5475.6
2023,12,2023-12,378,3176848.17,8404.36
2024,1,2024-01,400,2340061.55,5850.15
2024,2,2024-02,338,2629322.45,7779.06
2024,3,2024-03,443,3826046.07,8636.67
2024,4,2024-04,426,2841585.78,6670.39
2024,5,2024-05,436,3672137.65,8422.33
2024,6,2024-06,741,5707181.09,7702.0
2024,7,2024-07,1755,5546401.07,3160.34
2024,8,2024-08,1785,3724394.9,2086.5
2024,9,2024-09,1796,5091152.26,2834.72
2024,10,2024-10,1971,5401903.75,2740.69
2024,11,2024-11,2100,3671582.38,1748.37
2024,12,2024-12,2053,4568717.58,2225.39
2025,1,2025-01,2136,4783231.67,2239.34
2025,2,2025-02,1857,3987943.62,2147.52
2025,3,2025-03,2304,5585675.81,2424.34
2025,4,2025-04,2279,5847164.69,2565.67
2025,5,2025-05,2218,2108405.79,950.59
2025,6,2025-06,905,52478.19,57.99
